event,stadium,city,event_date,olympic,name,country,born,gender,place,age
100 metres,"Montjuïc Olympic Stadium, Barcelona","Barcelona, Spain",1992-08-01,1992 Barcelona Summer Games,Linford Christie,GBR,1960-04-02,Male,1,32.35342465753425
200 metres,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-26,1976 Montréal Summer Games,Dwayne Evans,USA,1958-10-13,Male,3,17.797260273972604
200 metres,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-11,1912 Stockholm Summer Games,Donald Lippincott,USA,1893-11-16,Male,2,18.660273972602738
200 metres,"White City Stadium, London","London, Great Britain",1908-07-23,1908 London Summer Games,Bobby Cloughen,USA,1889-01-26,Male,2,19.4986301369863
200 metres,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-08-31,1904 St. Louis Summer Games,Bill Hogenson,USA,1884-10-26,Male,3,19.85753424657534
200 metres,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-20,1920 Antwerpen Summer Games,Charley Paddock,USA,1900-08-11,Male,2,20.03835616438356
200 metres,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-26,1976 Montréal Summer Games,Millard Hampton,USA,1956-07-08,Male,2,20.063013698630137
200 metres,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-04,1972 München Summer Games,Pietro Mennea,ITA,1952-06-28,Male,3,20.2
200 metres,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-08-01,1928 Amsterdam Summer Games,Percy Williams,CAN,1908-05-19,Male,1,20.216438356164385
200 metres,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-05,1936 Berlin Summer Games,Tinus Osendarp,NED,1916-05-21,Male,3,20.221917808219178
200 metres,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-23,1952 Helsinki Summer Games,Thane Baker,USA,1931-10-04,Male,2,20.816438356164383
200 metres,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-27,1956 Melbourne Summer Games,Bobby Joe Morrow,USA,1935-10-15,Male,1,21.134246575342466
200 metres,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-04,1972 München Summer Games,Larry Black,USA,1951-07-20,Male,2,21.14246575342466
200 metres,"Olympic Stadium, Roma","Roma, Italy",1960-09-03,1960 Roma Summer Games,Livio Berruti,ITA,1939-05-19,Male,1,21.30958904109589
200 metres,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-28,1988 Seoul Summer Games,Joe DeLoach,USA,1967-06-05,Male,1,21.33150684931507
200 metres,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-08-31,1904 St. Louis Summer Games,Nate Cartmell,USA,1883-01-13,Male,2,21.643835616438356
200 metres,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-17,1964 Tokyo Summer Games,Henry Carr,USA,1942-11-27,Male,1,21.904109589041095
200 metres,"Beijing National Stadium, Beijing","Beijing, China",2008-08-20,2008 Beijing Summer Games,Usain Bolt,JAM,1986-08-21,Male,1,22.013698630136986
200 metres,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-05,1936 Berlin Summer Games,Mack Robinson,USA,1914-07-18,Male,2,22.065753424657533
200 metres,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-23,1952 Helsinki Summer Games,Jimmy Gathers,USA,1930-06-17,Male,3,22.115068493150684
200 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-08,1984 Los Angeles Summer Games,Kirk Baptiste,USA,1962-06-20,Male,2,22.15068493150685
200 metres,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-11,1912 Stockholm Summer Games,Willie Applegarth,GBR,1890-05-11,Male,3,22.18082191780822
200 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-08,1984 Los Angeles Summer Games,Thomas Jefferson,USA,1962-06-08,Male,3,22.183561643835617
200 metres,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-03,1932 Los Angeles Summer Games,Ralph Metcalfe,USA,1910-05-29,Male,3,22.197260273972603
200 metres,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-20,1920 Antwerpen Summer Games,Harry Edward,GBR,1898-04-15,Male,3,22.361643835616437
200 metres,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-09,1924 Paris Summer Games,Eric Liddell,GBR,1902-01-16,Male,3,22.493150684931507
200 metres,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-20,1920 Antwerpen Summer Games,Allen Woodring,USA,1898-02-15,Male,1,22.523287671232875
200 metres,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-26,2004 Athina Summer Games,Justin Gatlin,USA,1982-02-10,Male,3,22.556164383561644
200 metres,"Beijing National Stadium, Beijing","Beijing, China",2008-08-20,2008 Beijing Summer Games,Walter Dix,USA,1986-01-31,Male,3,22.567123287671233
200 metres,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-08-01,1996 Atlanta Summer Games,Ato Boldon,TTO,1973-12-30,Male,3,22.602739726027398
